Pointages AviMeca
t;x;y
(s);(m);(m)
0;-0,349;-0,031
0,044;-0,324;-0,133
0,088;-0,27;-0,223
0,132;-0,191;-0,293
0,176;-0,096;-0,337
0,22;0,009;-0,35
0,264;0,112;-0,331
0,308;0,206;-0,283
0,352;0,281;-0,209
0,396;0,33;-0,116
0,44;0,35;-0,013
0,484;0,338;0,092
0,528;0,295;0,188
0,572;0,226;0,267
0,616;0,137;0,322
0,66;0,035;0,348
0,704;-0,07;0,343
0,748;-0,169;0,306
0,792;-0,252;0,242
